,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
1583,3663,G059.6403-00.1812,HII/YSO ,3.198,4.47,3.17,14.09,14.8,13.0,11.2,27.4,2.2,Par,1509,MIPS/IGA,5.0,<0.8,
1584,3646,G059.7005+00.9631,Proto-PN ,13.812000000000001,23.715,33.66,68.33,12.0,10.9,9.7,,,,,MSX,5.0,<0.6,
1585,3662,G059.7654-00.0269,HII region ,1.9909999999999999,2.2319999999999998,2.71,18.29,,,,21.0,2.2,Par,1397,MIPS/IGA,8.6,<0.4,
1586,3659,G059.7831+00.0648,YSO ,5.325,8.527999999999999,14.91,47.4,17.3,14.3,10.8,22.4,2.2,Par,21870,MIPS/IGA,8.6,<0.4,
1587,3658,G059.7856+00.0734,HII region ,1.26,1.88,1.25,3.07,13.4,12.4,11.7,22.3,2.2,Par,328,MSX,8.6,<0.4,
1588,3654,G059.7924+00.2368,HII region ,0.937,1.807,2.2,3.92,,,,,2.2,Par,213,MSX,,,
1589,3656,G059.7983+00.2319,Diffuse HII region?,0.72,2.636,3.16,7.89,,,,,,,,MSX,,,
1590,3655,G059.8046+00.2370,Rejected ,0.773,2.2119999999999997,2.7,5.16,,,,,,,,MSX,,,
1591,3667,G059.8237-00.5357,PN ,0.185,-0.491,1.17,3.01,14.4,13.7,12.6,,,,,MSX,,,
1593,3632,G059.9941+02.0891,PN ,0.331,1.2990000000000002,1.98,5.55,13.6,12.9,12.3,,,,,MSX,,,
1594,3661,G059.9997+00.1167,YSO?,0.7490000000000001,0.938,1.18,2.7,18.1,14.6,12.4,-15.2,9.3,Kin,9011,MIPS/IGA,5.0,<0.6,
1595,3637,G060.1997+02.0410,Evolved star ,2.66,4.331,4.71,5.17,16.4,12.0,8.9,,,,,MSX,,,
1596,3643,G060.4776+01.5907,PN ,0.42200000000000004,1.807,3.0,6.12,13.9,13.0,12.3,,,,,MSX,,,
1597,3639,G060.5441+01.8171,PN ,0.14800000000000002,0.8290000000000001,1.12,4.42,13.1,12.8,11.8,,,,,MSX,,,
1598,3668,G060.5750-00.1861,YSO ,2.6919999999999997,6.404,10.32,27.35,,,,4.9,7.5,Kin,31265,MIPS/IGA,5.0,<0.4,
1599,3670,G060.8716-00.1072,HII region ,7.432,8.628,10.61,94.42,12.1,10.9,10.2,22.0,2.2,Par,3457,MIPS/IGA,,,
1602,3684,G060.9134-01.0561,Proto-PN ,3.2260000000000004,13.335999999999999,19.09,34.3,12.6,10.8,9.6,,,,,MSX,,,
1603,3664,G061.2108+00.6192,Evolved star ,4.848,9.847999999999999,11.63,10.8,,,,,,,,MSX,,,
1604,3674,G061.2872-00.3324,Diffuse HII region ,1.5830000000000002,3.3760000000000003,3.25,6.3,,,,,,,,MSX,,,
1605,3624,G061.3951+03.6185,PN ,2.8139999999999996,4.133,4.43,6.27,14.1,11.8,9.7,,,,,MSX,,,
1611,3665,G061.7201+00.8630,HII region ,1.358,2.178,3.03,18.04,13.5,12.1,12.1,-72.6,14,Kin,57201,MIPS/IGA,5.0,106.6,
1612,3685,G061.8443-00.5649,Carbon star ,7.0329999999999995,23.205,41.65,58.42,,,,,,,,MSX,5.0,<0.7,
1613,3719,G062.2180-04.5448,Evolved star ,0.7859999999999999,1.395,2.25,2.82,13.6,11.3,9.6,12.3,1.6,Kin,243,MSX,5.0,<0.7,
1614,3649,G062.5748+02.3875,YSO ,2.9139999999999997,6.803,7.54,16.56,14.6,13.9,11.9,-69.3,13.4,Kin,103012,MSX,,,
1615,3683,G063.1140+00.3416,YSO ,2.9939999999999998,3.721,3.14,6.84,16.9,13.2,9.7,20.0,4.7,Kin,5496,MIPS/IGA,5.0,<0.7,
1616,3677,G063.1264+00.4444,HII region ,2.622,3.861,3.75,13.08,,,,21.0,3.9,,3249,MIPS/IGA,8.6,<0.4,
1619,3679,G063.1623+00.4512,Rejected ,0.41100000000000003,2.136,3.69,8.94,,,,,,,,MSX,,,
1620,3678,G063.1679+00.4553,Rejected ,0.195,1.893,3.63,6.65,,,,,,,,MSX,,,
1622,3680,G063.1784+00.4560,Diffuse HII region?,0.128,1.463,2.44,6.57,,,,,,,,MSX,,,
1624,3634,G064.0964+04.2563,Evolved star ,14.774000000000001,16.088,19.52,39.06,9.9,7.9,6.2,,,,,MSX,,,
1625,3691,G064.1284-00.4741,Rejected ,2.5810000000000004,4.4319999999999995,2.96,8.2,,,,,,,,MSX,,,
1626,3689,G064.1327-00.4652,Rejected ,0.624,2.286,2.9,11.13,,,,,,,,MSX,,,
1627,3690,G064.1327-00.4709,Diffuse HII region ,0.602,2.839,4.44,12.48,,,,,,,,MSX,,,
1628,3688,G064.1338-00.4602,Rejected ,1.745,3.071,3.19,10.38,,,,,,,,MSX,,,
1629,3676,G064.1528+01.2817,HII region ,1.508,2.365,2.01,11.98,14.5,13.6,12.3,-55.3,11.7,Kin,19725,MIPS/IGA,5.0,25.7,
1630,3687,G064.8131+00.1743,YSO ,26.0,42.468999999999994,53.97,85.65,9.3,7.3,5.7,-16.1,8.2,Kin,89444,MSX,5.0,<0.6,
1631,3714,G064.9412-02.1597,PN ,1.23,3.495,5.21,9.56,13.4,12.8,11.7,,,,,MSX,,,
1632,3692,G065.0168-00.0636,Evolved star ,2.259,3.7939999999999996,4.51,5.27,16.9,13.9,10.5,,,,,MSX,5.0,<0.6,
1633,3673,G065.2217+02.1196,Carbon star ,4.5169999999999995,18.96,41.08,64.99,,,,,,,,MSX,,,
