Name,Flux_70
G313.4573+00.1934,660.561000
G313.6403+00.3107,8.616000
G313.6668-00.1023,40.088000
G313.7051-00.1895,267.925000
G313.7849+00.7116,29.213000
G314.1746+00.4982,35.061000
G314.2204+00.2726,1150.180000
G314.2462+00.4174,211.272000
G314.2674+00.0915,140.600000
G314.2853+00.4295,150.201000
G314.2964+00.1009,72.620000
G314.3197+00.1125,423.910000
G314.9155-00.0487,1.071000
G315.4195-00.3140,22.186000
G316.2267-00.6453,12.325000
G316.2473+00.8836,15.651000
G316.3627-00.3631,271.923000
G316.5356+00.8814,0.755000
G316.5871-00.8086,183.627000
G316.7670-00.0335,101.758000
G316.7786-00.0867,48.238000
G316.7949-00.0777,121.050000
G316.8021-00.0614,263.108000
G316.8149-01.1058,4.525000
G317.2046-00.7581,59.696000
G317.4298-00.5612,880.698000
G317.4660-00.5252,115.269000
G317.8908-00.0578,229.174000
G318.1707-00.4676,16.292000
G318.1888-01.2651,93.166000
G318.2425+00.1142,15.165000
G318.3507-00.3972,147.251000
G318.4243-00.2575,4.341000
G318.7748-00.1513,434.659000
G318.9148-00.1647,1736.710000
G318.9827+00.3224,1.462000
G319.1632-00.4208,1005.690000
G319.3400+00.9138,18.728000
G319.3611-00.0058,11.048000
G319.4526-00.0221,224.232000
G319.6379+00.1361,13.595000
G319.8366-00.1963,219.572000
G320.1524+00.7924,98.258000
G320.1542+00.7976,47.469000
G320.1640+00.8168,43.129000
G320.2429-00.3247,12.175000
G320.2434-00.2801,3.155000
G320.2585-00.3050,25.134000
G320.2721-00.3447,94.168000
G320.2740-00.3357,13.433000
G320.3311-00.3069,382.448000
G320.3769+00.1736,9.885000
G320.6693+00.1520,40.377000
G320.6747+00.2452,241.495000
G320.9062-00.2928,106.626000
G321.3824-00.2861,53.304000
G322.0814+00.9433,11.281000
G322.1587+00.6256,1149.520000
G322.4679+00.6627,40.440000
G322.4683-00.1780,22.407000
G323.2452+00.6498,12.487000
G323.7986+00.0173,156.596000
G324.0609-00.2125,3.818000
G324.1594+00.2622,84.635000
G324.8244-01.1658,15.834000
G324.9236-00.5686,953.567000
G325.1158+00.0078,4.804000
G325.3566-00.0422,11.393000
G325.5159+00.4147,117.290000
G325.5897+00.4494,2.068000
G325.5964+00.0912,67.833000
G326.4464+00.9062,898.919000
G326.4745+00.3700,54.611000
G326.4755+00.6947,200.660000
G326.5176-00.6332,191.047000
G326.5297-00.4186,96.397000
G326.5798+00.8094,4.755000
G326.6570+00.5912,588.381000
G326.8848-00.2766,150.875000
G326.9349+00.0028,17.576000
G327.0156+00.0414,1.157000
G327.0506-00.2124,54.216000
G327.1012-00.2632,50.680000
G327.1192+00.5103,1235.030000
G327.1309-00.2655,230.134000
G327.2456-00.6383,6.323000
G327.2633-00.4997,79.933000
G327.2649-00.5539,106.103000
G327.2688-00.5711,189.919000
G327.3859+00.4791,8.224000
G327.4014+00.4454,1355.290000
G327.4071-00.0683,14.599000
G327.5321-00.8666,5.164000
G327.6184-00.1109,49.669000
G327.8289-00.8880,7.240000
G327.8483+00.0175,122.467000
G327.9018+00.1538,90.032000
G327.9205+00.0921,11.030000
G328.0034-00.0884,88.792000
G328.1917-00.5763,186.190000
G328.2275-00.2714,36.797000
G328.2842+00.4474,85.925000
G328.2918-00.5376,12.006000
G328.3442-00.4629,0.863000
G328.4051-00.2135,4.379000
G328.4763-00.3421,33.433000
G328.5487+00.2717,91.579000
G328.8154+01.0230,2.599000
G328.8179-00.0019,23.257000
